"","Diarrhea","HIV","Injury","Malaria","Other","Other infections","Pneumonia","Tuberculosis"
"Abortion-related death",0,0,0,0,4,0,0,0
"Accid drowning and submersion",0,0,4,0,0,0,0,0
"Accid expos to smoke fire & flame",0,0,1,0,0,0,0,0
"Accid fall",0,0,2,0,0,0,0,0
"Acute abdomen",0,0,0,0,1,0,0,0
"Acute resp infect incl pneumonia",0,0,0,0,0,0,5,0
"Assault",0,0,2,0,0,0,0,0
"Diarrhoeal diseases",4,0,0,0,0,0,0,0
"Epilepsy",0,0,0,0,3,0,0,0
"Haemorrhagic fever (non-dengue)",0,0,0,0,0,2,0,0
"HIV/AIDS related death",0,2,0,0,0,0,0,0
"Intentional self-harm",0,0,4,0,0,0,0,0
"Liver cirrhosis",0,0,0,0,1,0,0,0
"Malaria",0,0,0,5,0,0,0,0
"Meningitis and encephalitis",0,0,0,0,0,2,0,0
"Other and unspecified cardiac dis",0,0,0,0,3,0,0,0
"Other and unspecified infect dis",0,0,0,0,0,12,0,0
"Pregnancy-induced hypertension",0,0,0,0,1,0,0,0
"Pregnancy-related sepsis",0,0,0,0,2,0,0,0
"Pulmonary tuberculosis",0,0,0,0,0,0,0,1
"Road traffic accident",0,0,3,0,0,0,0,0
"Severe malnutrition",0,0,0,0,1,0,0,0
"Sickle cell with crisis",0,0,0,0,1,0,0,0
"Stroke",0,0,0,0,1,0,0,0
