"province","InsilicoVA","n","freq"
"Cabo Delgado","Fresh stillbirth",34,0.63
"Cabo Delgado","Macerated stillbirth",20,0.37
"Gaza","Fresh stillbirth",12,0.706
"Gaza","Macerated stillbirth",5,0.294
"Inhambane","Fresh stillbirth",15,0.6
"Inhambane","Macerated stillbirth",10,0.4
"Manica","Fresh stillbirth",47,0.691
"Manica","Macerated stillbirth",21,0.309
"Maputo Cidade","Fresh stillbirth",1,0.5
"Maputo Cidade","Macerated stillbirth",1,0.5
"Maputo Provincia","Fresh stillbirth",8,0.667
"Maputo Provincia","Macerated stillbirth",4,0.333
"Nampula","Fresh stillbirth",12,0.48
"Nampula","Macerated stillbirth",13,0.52
"Niassa","Fresh stillbirth",30,0.833
"Niassa","Macerated stillbirth",6,0.167
"Sofala","Fresh stillbirth",16,0.552
"Sofala","Macerated stillbirth",13,0.448
"Tete","Fresh stillbirth",67,0.67
"Tete","Macerated stillbirth",33,0.33
"Zambezia","Fresh stillbirth",58,0.716
"Zambezia","Macerated stillbirth",23,0.284
