"place_of_death","cause","n","freq","method"
"community","infection",98,0.53,"InsilicoVA"
"community","ipre",26,0.141,"InsilicoVA"
"community","other",6,0.032,"InsilicoVA"
"community","prematurity",55,0.297,"InsilicoVA"
"facility","infection",33,0.289,"InsilicoVA"
"facility","ipre",46,0.404,"InsilicoVA"
"facility","other",5,0.044,"InsilicoVA"
"facility","prematurity",30,0.263,"InsilicoVA"
"community","congenital_malformation",6,0.032,"EAVA"
"community","infection",83,0.449,"EAVA"
"community","ipre",18,0.097,"EAVA"
"community","other",3,0.016,"EAVA"
"community","prematurity",31,0.168,"EAVA"
"community","undecided",44,0.238,"EAVA"
"facility","congenital_malformation",2,0.018,"EAVA"
"facility","infection",42,0.368,"EAVA"
"facility","ipre",22,0.193,"EAVA"
"facility","other",2,0.018,"EAVA"
"facility","prematurity",16,0.14,"EAVA"
"facility","undecided",30,0.263,"EAVA"
