icd_code,champs_icd_group_desc
" J16.8",Lower respiratory infections
A 41.5,Sepsis
A 41.9,Sepsis
A00,Diarrheal Diseases
A02,Other infections
A02.1,Sepsis
A03,Diarrheal Diseases
A04.0,Diarrheal Diseases
A04.1,Diarrheal Diseases
A04.2,Diarrheal Diseases
A04.4,Diarrheal Diseases
A04.5,Diarrheal Diseases
A04.8,Diarrheal Diseases
A07.1,Diarrheal Diseases
A08,Diarrheal Diseases
A08.0,Diarrheal Diseases
A08.1,Diarrheal Diseases
A08.2,Diarrheal Diseases
A08.3,Diarrheal Diseases
A08.5,Diarrheal Diseases
A09,Diarrheal Diseases
A09.0,Diarrheal Diseases
A09.9,Diarrheal Diseases
A17.0,Tuberculosis
A17.8,Tuberculosis
A18.8,Tuberculosis
A19.1,Tuberculosis
A19.9,Tuberculosis
A32.9,Other infections
A37,Lower respiratory infections
A39.0,Meningitis/Encephalitis
A39.2,Other infections
A40,Sepsis
A40.0,Sepsis
A40.1,Sepsis
A40.2,Sepsis
A40.3,Sepsis
A40.8,Sepsis
A40.9,Sepsis
A41,Sepsis
A41.0,Sepsis
A41.01,Sepsis
A41.02,Sepsis
A41.1,Sepsis
A41.2,Sepsis
A41.3,Sepsis
A41.4,Sepsis
A41.5,Sepsis
A41.50,Sepsis
A41.51,Sepsis
A41.52,Sepsis
A41.53,Sepsis
A41.59,Sepsis
A41.6,Sepsis
A41.8,Sepsis
A41.81,Sepsis
A41.89,Sepsis
A41.9,Sepsis
A42,Sepsis
A42.0,Sepsis
A42.1,Sepsis
A42.2,Sepsis
A42.7,Sepsis
A42.8,Sepsis
A42.81,Sepsis
A42.82,Sepsis
A42.89,Sepsis
A42.9,Sepsis
A43,Sepsis
A43.0,Sepsis
A43.1,Sepsis
A43.8,Sepsis
A43.9,Sepsis
A44,Sepsis
A44.0,Sepsis
A44.1,Sepsis
A44.8,Sepsis
A44.9,Sepsis
A45,Sepsis
A45.9,Sepsis
A46,Sepsis
A46.0,Sepsis
A47,Sepsis
A48,Sepsis
A48.0,Sepsis
A48.1,Sepsis
A48.2,Sepsis
A48.3,Sepsis
A48.4,Sepsis
A48.5,Sepsis
A48.51,Sepsis
A48.52,Sepsis
A48.8,Sepsis
A49,Sepsis
A49.0,Sepsis
A49.01,Sepsis
A49.02,Sepsis
A49.1,Sepsis
A49.2,Sepsis
A49.3,Sepsis
A49.8,Sepsis
A49.9,Sepsis
A50,Syphilis
A50.0,Syphilis
A50.9,Syphilis
A51.0,Syphilis
A51.9,Syphilis
A52.9,Syphilis
A53.9,Syphilis
A82.1,Meningitis/Encephalitis
A82.9,Rabies
A85.1,Meningitis/Encephalitis
A86,Meningitis/Encephalitis
A87.8,Meningitis/Encephalitis
A97.9,Other infections
B 50.0,Malaria
B 50.8,Malaria
B00.7,Other infections
B05,Measles
B05.2,Measles
B05.8,Measles
B05.9,Measles
B06.9,Other infections
B18.2,Liver Disease
B20,HIV
B20.1,HIV
B20.3,HIV
B20.6,HIV
B20.7,HIV
B20.8,HIV
B20.9,HIV
B21.9,HIV
B22,HIV
B22.1,HIV
B22.2,HIV
B22.7,HIV
B23,HIV
B23.8,HIV
B24,HIV
B25,Other infections
B25.0,Lower respiratory infections
B25.1,Other infections
B25.8,Other infections
B25.9,Other infections
B33.2,Other infections
B33.22,Other infections
B33.8,Other infections
B34.0,Other infections
B34.1,Other infections
B34.3,Other infections
B37,Other infections
B37.1,Other infections
B37.5,Meningitis/Encephalitis
B37.7,Sepsis
B37.8,Other infections
B44.7,Other infections
B50,Malaria
B50.0,Malaria
B50.10,Malaria
B50.8,Malaria
B50.9,Malaria
B54,Malaria
B59,Other infections
B96.2,Other infections
B99,Other infections
C22.2,Cancer
C49.9,Cancer
C74.9,Cancer
C91.0,Cancer
C92.9,Cancer
C95.0,Cancer
C95.9,Cancer
D48.0,Other
D50,Anemias
D50 - D64,Anemias
D53.8,Anemias
D53.9,Anemias
D57.0,Sickle cell disorders
D57.1,Sickle cell disorders
D57.8,Sickle cell disorders
D58.2,"Other endocrine, metabolic, blood, and immune disorders"
D59.8,Anemias
D61.1,Anemias
D63.0,Anemias
D64,Anemias
D64.9,Anemias
D65,"Other endocrine, metabolic, blood, and immune disorders"
D66,"Other endocrine, metabolic, blood, and immune disorders"
D68.6,"Other endocrine, metabolic, blood, and immune disorders"
D69.9,"Other endocrine, metabolic, blood, and immune disorders"
D82.1,Other immunodeficiencies
D84.9,Other immunodeficiencies
D89.9,"Other endocrine, metabolic, blood, and immune disorders"
E 41 & E43,Malnutrition
E10,Diabetes
E10.1,Diabetes
E16.2,"Other endocrine, metabolic, blood, and immune disorders"
E22.2,"Other endocrine, metabolic, blood, and immune disorders"
E40,Malnutrition
E40.3,Malnutrition
E41,Malnutrition
E41 & E43,Malnutrition
E42,Malnutrition
E43,Malnutrition
E44,Malnutrition
E44.0,Malnutrition
E44.1,Malnutrition
E45,Malnutrition
E46,Malnutrition
E53.8,Other nutritional deficiencies
E66,Obesity
E66.8,Obesity
E87.0,"Other disorders of fluid, electrolyte and acid-base balance"
E88.8,"Other endocrine, metabolic, blood, and immune disorders"
E88.9,"Other endocrine, metabolic, blood, and immune disorders"
F89,Other
F99,Other
G00.0,Meningitis/Encephalitis
G00.1,Meningitis/Encephalitis
G00.2,Meningitis/Encephalitis
G00.3,Meningitis/Encephalitis
G00.8,Meningitis/Encephalitis
G00.9,Meningitis/Encephalitis
G01,Meningitis/Encephalitis
G03.9,Meningitis/Encephalitis
G04.8,Meningitis/Encephalitis
G06.0,Other infections
G12.9,Motor neuron disease
G31.9,Other neurological disorders
G40.9,Other neurological disorders
G41.9,Epilepsy
G71.2,Congenital birth defects
G80.9,Congenital birth defects
G91.0,Other neurological disorders
G91.8,Other neurological disorders
G91.9,Other neurological disorders
G93.4,Other neurological disorders
G93.5,Other neurological disorders
G93.9,Other neurological disorders
G96.9,Other neurological disorders
H66.3,Other infections
H66.4,Other infections
I27,Heart Diseases
I27.2,Other respiratory disease
I33.0,Heart Diseases
I41.1,Other infections
I42.0,Heart Diseases
I42.9,Heart Diseases
I50,Heart Diseases
I50.0,Heart Diseases
I51.4,Other infections
I51.9,Heart Diseases
J 13,Lower respiratory infections
J 69.0,Other respiratory disease
J05.0,Upper respiratory infections
J06.9,Upper respiratory infections
J10.0,Lower respiratory infections
J12.0,Lower respiratory infections
J12.1,Lower respiratory infections
J12.2,Lower respiratory infections
J12.8,Lower respiratory infections
J12.9,Lower respiratory infections
J13,Lower respiratory infections
J14,Lower respiratory infections
J15,Lower respiratory infections
J15.0,Lower respiratory infections
J15.1,Lower respiratory infections
J15.2,Lower respiratory infections
J15.3,Lower respiratory infections
J15.4,Lower respiratory infections
J15.5,Lower respiratory infections
J15.6,Lower respiratory infections
J15.8,Lower respiratory infections
J15.9,Lower respiratory infections
J16.8,Lower respiratory infections
J17.1,Lower respiratory infections
J17.2,Lower respiratory infections
J17.3,Lower respiratory infections
J17.8,Lower respiratory infections
J18,Lower respiratory infections
J18.0,Lower respiratory infections
J18.9,Lower respiratory infections
J21.9,Lower respiratory infections
J35.3,Other respiratory disease
J44.8,Other respiratory disease
J46,Other respiratory disease
J47,Other respiratory disease
J69,Other respiratory disease
J69.0,Other respiratory disease
J69.8,Other respiratory disease
J84.1,Other respiratory disease
J84.9,Other respiratory disease
J85.1,Lower respiratory infections
J86.9,Lower respiratory infections
J93,Other respiratory disease
J93.9,Other respiratory disease
J98.4,Other respiratory disease
K12.2,Other infections
K52.9,Diarrheal Diseases
K55.0,Other gastrointestinal disease
K56.1,Paralytic ileus and intestinal obstruction
K56.2,Paralytic ileus and intestinal obstruction
K56.6,Paralytic ileus and intestinal obstruction
K56.7,Paralytic ileus and intestinal obstruction
K65.0,Other infections
K71.6,Liver disease
K71.9,Liver disease
K72.0,Liver Disease
K72.1,Liver Disease
K72.9,Liver disease
K74.5,Liver Disease
K75.9,Liver Disease
K76.5,Liver Disease
K76.6,Liver disease
K76.9,Liver disease
K83.1,Liver disease
K91.4,Other
K92.0,Other
K92.9,Other
L01.0,Other infections
L02.0,Other skin and subcutaneous diseases
L03,Other infections
L12.2,Other skin and subcutaneous diseases
L26,Other skin and subcutaneous diseases
L51.2,Other skin and subcutaneous diseases
L89,Other skin and subcutaneous diseases
L98.4,Other skin and subcutaneous diseases
M00,Other infections
M79.8,Other
M86.9,Other infections
N17.9,Kidney Disease
N76.0,Maternal infection
N93,Other maternal factor
O03,Spontaneous abortion
O04,Other maternal factor
O05,Other maternal factor
O10,Maternal hypertension
O10.0,Maternal hypertension
O10.9,Maternal hypertension
O11,Maternal hypertension
O13,Maternal hypertension
O14,Maternal hypertension
O14.0,Maternal hypertension
O14.1,Maternal hypertension
O14.2,Maternal hypertension
O14.9,Maternal hypertension
O15,Maternal hypertension
O15.0,Maternal hypertension
O16,Maternal hypertension
O23.9,Other maternal factor
O24.0,Maternal diabetes
O24.1,Maternal diabetes
O24.9,Maternal diabetes
O26.1,Maternal nutritional disorders
O26.8,Other maternal factor
O30,Multiple gestation
O30.0,Multiple gestation
O30.1,Multiple gestation
O31.8,Multiple gestation
O34.1,Other maternal factor
O34.3,Cervical insufficiency and pelvic anomalies
O36.0,Other maternal factor
O41.1,Chorioamnionitis and membrane complications
O42.0,Premature Rupture of membranes
O42.1,Premature Rupture of membranes
O42.9,Premature Rupture of membranes
O44,Placental complications
O44.0,Placental complications
O44.1,Placental complications
O45.8,Placental complications
O45.9,Placental complications
O46.9,Other labor and delivery complications
O48,Other labor and delivery complications
O60,Other labor and delivery complications
O60.1,Preterm labor or delivery
O63,Other labor and delivery complications
O63.1,Other labor and delivery complications
